,feature_set,n_features,train_roc_auc,val_roc_auc,test_roc_auc,train_pr_auc,val_pr_auc,test_pr_auc,scale_pos_weight,model_type
baseline_default_all_features,all_features,88,1.0,0.6111111111111112,0.609375,0.9999999999999999,0.15234513449469755,0.3488560150042708,,default
baseline_balanced_top_40,top_40,40,1.0,0.5711805555555556,0.5850694444444444,0.9999999999999999,0.15638867621449587,0.3189166044707356,8.763157894736842,balanced
baseline_balanced_top_20,top_20,20,1.0,0.5677083333333334,0.5815972222222222,0.9999999999999999,0.14306459462321103,0.22330374708611034,8.763157894736842,balanced
baseline_balanced_all_features,all_features,88,1.0,0.5572916666666666,0.5555555555555555,0.9999999999999999,0.14363770659616326,0.2934584084756763,8.763157894736842,balanced
baseline_default_top_40,top_40,40,1.0,0.5381944444444444,0.611111111111111,0.9999999999999999,0.13635460845780317,0.3093946249828603,,default
baseline_default_top_20,top_20,20,1.0,0.5173611111111112,0.5694444444444444,0.9999999999999999,0.12413501714825512,0.17064362398685914,,default
baseline_balanced_top_30,top_30,30,1.0,0.5173611111111112,0.5347222222222223,0.9999999999999999,0.14784210210512824,0.24684967111628028,8.763157894736842,balanced
baseline_default_top_30,top_30,30,1.0,0.4809027777777778,0.5329861111111112,0.9999999999999999,0.11241324194194702,0.24491853737513752,,default
