feature_set,n_features,cv_train_auc,cv_train_auc_std,cv_test_auc,cv_test_auc_std,cv_pr_auc,cv_pr_auc_std,train_auc,val_auc,test_auc,train_pr,val_pr,test_pr,overfitting_gap
all_features,88,0.8035030883963564,0.02963977890569644,0.7265991471215352,0.04817096974234974,0.28934458855724665,0.04625487561218988,0.8321479374110953,0.7048611111111112,0.7604166666666667,0.3920009805990703,0.2813131313131313,0.3685739199525964,0.1055487902895601
top_20,20,0.7778109993480742,0.026190008677349916,0.7093004942818376,0.051804933795824855,0.268199123025617,0.040078497863950444,0.791488857278331,0.671875,0.795138888888889,0.3073089104634813,0.24176905108603322,0.3499560080442433,0.08218836299649335
top_40,40,0.7899688571434627,0.017226398363775867,0.6894654164243715,0.028761722542734826,0.2550744775306303,0.04370219270918504,0.8180022127390548,0.7265625,0.7777777777777777,0.3444763166529258,0.2606148162182645,0.3843587718587719,0.1285367963146833
significant,21,0.7714247788736067,0.03745923098194149,0.6882608063578213,0.05200725119941768,0.24365313191983567,0.04136569891640732,0.7906590801327644,0.6649305555555556,0.7795138888888888,0.30888253907935326,0.2526916007519456,0.31689514130475444,0.10239827377494315
top_30,30,0.7815466553904393,0.0387938281723025,0.6868183433481941,0.05705297853915249,0.2255453646176532,0.03323771142567462,0.8159080132764344,0.7517361111111112,0.75,0.33738541217666745,0.2658163265306122,0.3434043927648579,0.12908966992824022
top_50,50,0.7951533509380555,0.02999397562501726,0.6820031336822383,0.05230569062003334,0.21528190199403344,0.041978214005491954,0.8052789631737002,0.6614583333333333,0.7612847222222222,0.31282048351813224,0.2991501673613743,0.4177899377754029,0.12327582949146187
rfe_selected,40,0.7912749721955002,0.0462787171739639,0.6754910512373199,0.03866565797684694,0.21334840915776096,0.038746349444499194,0.7991939307728781,0.7274305555555556,0.7960069444444444,0.32655922402044935,0.2645523856342481,0.4150245025245025,0.12370287953555825
